Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R32,66.5k,R_0805_2012Metric,130.048,-115.804,270.0,bottom
R33,66.5k,R_0805_2012Metric,99.06,-115.804,270.0,bottom
R34,66.5k,R_0805_2012Metric,109.982,-115.804,270.0,bottom
R35,100,R_0805_2012Metric,100.75,-58.975,0.0,bottom
R36,100,R_0805_2012Metric,96.725,-65.075,0.0,bottom
R37,100,R_0805_2012Metric,100.75,-65.075,0.0,bottom
R38,1k,R_0805_2012Metric,261.5438,-119.5832,270.0,bottom
R39,200k,R_0805_2012Metric,212.598,-118.11,0.0,bottom
R40,10k,R_0805_2012Metric,256.6162,-124.2314,0.0,bottom
R41,1k,R_0805_2012Metric,266.0,-118.0,0.0,bottom
R42,10k,R_0805_2012Metric,172.7708,-115.0112,180.0,bottom
R43,10k,R_0805_2012Metric,169.164,-115.0366,0.0,bottom
R44,200k,R_0805_2012Metric,212.598,-123.19,0.0,bottom
R45,100k,R_0805_2012Metric,212.598,-116.078,0.0,bottom
R46,100k,R_0805_2012Metric,212.598,-125.222,0.0,bottom
R47,100,R_0805_2012Metric,263.144,-103.632,0.0,bottom
R48,100,R_0805_2012Metric,248.666,-114.554,0.0,bottom
R49,33k,R_0805_2012Metric,186.69,-68.834,270.0,bottom
R50,33,R_0805_2012Metric,222.7072,-54.6862,270.0,bottom
R51,10,R_0805_2012Metric,237.7948,-56.4388,0.0,bottom
R52,100,R_0805_2012Metric,96.725,-70.65,0.0,bottom
R53,100,R_0805_2012Metric,100.75,-70.65,180.0,bottom
R54,33k,R_0805_2012Metric,176.53,-68.834,270.0,bottom
R55,140k 1%,R_0805_2012Metric,244.094,-106.68,180.0,bottom
R56,100k 1%,R_0805_2012Metric,250.19,-106.426,0.0,bottom
R57,33k 1%,R_0805_2012Metric,247.2925,-97.79,180.0,bottom
R64,100,R_0805_2012Metric,96.725,-76.175,0.0,bottom
R65,100,R_0805_2012Metric,100.75,-76.175,180.0,bottom
R66,200k,R_0805_2012Metric,229.362,-124.968,270.0,bottom
R67,100k,R_0805_2012Metric,263.144,-82.042,180.0,bottom
R68,200k,R_0805_2012Metric,229.616,-116.566,90.0,bottom
R69,100k,R_0805_2012Metric,248.7191,-82.55,180.0,bottom
R70,66.5k,R_0805_2012Metric,224.79,-124.968,90.0,bottom
R71,66.5k,R_0805_2012Metric,227.584,-116.566,270.0,bottom
R72,100,R_0805_2012Metric,144.8,-59.7,180.0,bottom
R73,100,R_0805_2012Metric,140.7,-59.7,180.0,bottom
R74,100,R_0805_2012Metric,144.8,-65.075,180.0,bottom
R75,100,R_0805_2012Metric,140.7,-65.075,180.0,bottom
R76,100,R_0805_2012Metric,144.994338,-70.71922,180.0,bottom
R77,100,R_0805_2012Metric,140.7,-70.65,180.0,bottom
R78,100,R_0805_2012Metric,144.8,-76.175,180.0,bottom
R79,100,R_0805_2012Metric,140.7,-76.175,180.0,bottom
R82,10k,R_0805_2012Metric,106.4375,-69.8875,90.0,bottom
R83,10k,R_0805_2012Metric,108.6375,-69.8875,90.0,bottom
R84,10k,R_0805_2012Metric,110.8375,-69.8875,90.0,bottom
R85,10k,R_0805_2012Metric,113.0375,-69.8875,270.0,bottom
R86,10k,R_0805_2012Metric,128.5375,-70.1375,90.0,bottom
R87,10k,R_0805_2012Metric,130.7875,-70.1375,90.0,bottom
R88,10k,R_0805_2012Metric,133.0375,-70.1375,90.0,bottom
R89,10k,R_0805_2012Metric,135.2875,-70.1375,270.0,bottom
SW1,SW_SPST,SW_E-Switch_EG1224_SPDT_Angled,145.4863,-43.0545,180.0,bottom
U2, PESE1-S5-D12-M-TR ,PESE1,156.35,-83.67,270.0,bottom
U3,6N138,DIL8-SMD,232.537,-68.961,270.0,bottom
U4,LM4040DBZ-10,SOT-23,139.192,-88.9,90.0,bottom
U5,LM4810,TSSOP-8_3x3mm_P0.65mm,181.61,-68.834,90.0,bottom
U6,TL072,SO-8_3.9x4.9mm_P1.27mm,205.232,-63.5,0.0,bottom
U7,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,219.456,-120.65,90.0,bottom
U8,74HC4051D,SOIC-16_4.55x10.3mm_P1.27mm,153.162,-121.92,0.0,bottom
U9,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,104.674,-121.412,270.0,bottom
U10,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,125.222,-121.412,90.0,bottom
U11,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,120.71,-49.33,90.0,bottom
U12,PCA9622,TSSOP-32_6.1x11mm_P0.65mm,120.356338,-81.28562,180.0,bottom
U13,MCP6001-OT,SOT-23-5,247.396,-103.501356,180.0,bottom
